year,annual_mean_temp,model
1962,10.858356164383562,FGOALS_f3_H
1963,10.871780821917808,FGOALS_f3_H
1964,9.405191256830602,FGOALS_f3_H
1965,11.482191780821918,FGOALS_f3_H
1966,10.851232876712329,FGOALS_f3_H
1967,12.434520547945207,FGOALS_f3_H
1968,11.089890710382514,FGOALS_f3_H
1969,10.481369863013699,FGOALS_f3_H
1970,11.753424657534246,FGOALS_f3_H
1971,11.523013698630136,FGOALS_f3_H
1972,11.493715846994535,FGOALS_f3_H
1973,10.703287671232877,FGOALS_f3_H
1974,10.921643835616438,FGOALS_f3_H
1975,10.467397260273973,FGOALS_f3_H
1976,10.874043715846994,FGOALS_f3_H
1977,10.59013698630137,FGOALS_f3_H
1978,11.334246575342465,FGOALS_f3_H
1979,10.915068493150685,FGOALS_f3_H
1980,11.103551912568307,FGOALS_f3_H
1981,10.493424657534247,FGOALS_f3_H
1982,10.94054794520548,FGOALS_f3_H
1983,11.02164383561644,FGOALS_f3_H
1984,11.358196721311476,FGOALS_f3_H
1985,11.696712328767124,FGOALS_f3_H
1986,10.762191780821917,FGOALS_f3_H
1987,11.187397260273972,FGOALS_f3_H
1988,10.522404371584699,FGOALS_f3_H
1989,10.691506849315068,FGOALS_f3_H
1990,11.237808219178083,FGOALS_f3_H
1991,11.767123287671232,FGOALS_f3_H
1992,10.669945355191256,FGOALS_f3_H
1993,11.524383561643834,FGOALS_f3_H
1994,11.293150684931506,FGOALS_f3_H
1995,12.07945205479452,FGOALS_f3_H
1996,11.191803278688525,FGOALS_f3_H
1997,11.331232876712328,FGOALS_f3_H
1998,10.732054794520547,FGOALS_f3_H
1999,11.246301369863012,FGOALS_f3_H
2000,11.39726775956284,FGOALS_f3_H
2001,11.015342465753424,FGOALS_f3_H
2002,10.906301369863014,FGOALS_f3_H
2003,11.224109589041097,FGOALS_f3_H
2004,11.28879781420765,FGOALS_f3_H
2005,11.095068493150684,FGOALS_f3_H
2006,11.808219178082192,FGOALS_f3_H
2007,11.344931506849314,FGOALS_f3_H
2008,11.334153005464481,FGOALS_f3_H
2009,10.772328767123287,FGOALS_f3_H
2010,10.651780821917809,FGOALS_f3_H
2011,11.495068493150685,FGOALS_f3_H
2012,11.383333333333335,FGOALS_f3_H
2013,12.029863013698629,FGOALS_f3_H
2014,11.127397260273973,FGOALS_f3_H
2015,12.04109589041096,FGOALS_f3_H
2016,11.248907103825138,FGOALS_f3_H
2017,12.332328767123288,FGOALS_f3_H
2018,11.709041095890411,FGOALS_f3_H
2019,12.13890410958904,FGOALS_f3_H
2020,11.943715846994534,FGOALS_f3_H
2021,12.432328767123288,FGOALS_f3_H
2022,11.706027397260273,FGOALS_f3_H
2023,11.263835616438357,FGOALS_f3_H
2024,11.402732240437157,FGOALS_f3_H
2025,11.701917808219177,FGOALS_f3_H
2026,12.457534246575342,FGOALS_f3_H
2027,12.301643835616439,FGOALS_f3_H
2028,11.903551912568306,FGOALS_f3_H
2029,12.12931506849315,FGOALS_f3_H
2030,11.426301369863015,FGOALS_f3_H
2031,11.653698630136986,FGOALS_f3_H
2032,11.851639344262294,FGOALS_f3_H
2033,12.875890410958904,FGOALS_f3_H
2034,12.386849315068492,FGOALS_f3_H
2035,12.065753424657535,FGOALS_f3_H
2036,12.672404371584701,FGOALS_f3_H
2037,11.946027397260275,FGOALS_f3_H
2038,11.9213698630137,FGOALS_f3_H
2039,12.763561643835615,FGOALS_f3_H
2040,12.508743169398906,FGOALS_f3_H
2041,11.805753424657535,FGOALS_f3_H
2042,11.508219178082191,FGOALS_f3_H
2043,12.944109589041098,FGOALS_f3_H
2044,12.472950819672132,FGOALS_f3_H
2045,13.276164383561644,FGOALS_f3_H
2046,12.468767123287673,FGOALS_f3_H
2047,12.584657534246574,FGOALS_f3_H
2048,11.379781420765028,FGOALS_f3_H
2049,13.047397260273973,FGOALS_f3_H
2050,12.371232876712329,FGOALS_f3_H
1950,11.474520547945206,HiRAM_SIT_HR
1951,11.052876712328768,HiRAM_SIT_HR
1952,10.857103825136612,HiRAM_SIT_HR
